place_id,address,category,phone_number,latitude,longitude,status,payload,name,review
J51ZfLoHR5zsRtdYVDnRQLmM,"Centre For Social Transformation, 11, Gola Lane, Fazal Manzil, Central Camera Galli",Camera store, 084540 50484,18.9369747,72.8346538,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/CAMERA+PHOTO+STORE/data=!4m7!3m6!1s0x3be7d1812e5f56e7:0x632e50740e15d6b5!8m2!3d18.9369747!4d72.8346538!16s%2Fg%2F11p14xgygn!19sChIJ51ZfLoHR5zsRtdYVDnRQLmM?authuser=0&hl=en&rclk=1"",""stars"":4.7,""numberOfReviews"":3}",CAMERA PHOTO STORE,"{""rating"":""4.7 stars 3 Reviews""}"
JjTcLnd7R5zsRwZy79Ha2x7A,"Ground Floor, Godrej Bhavan, Plot No 4A, Charanjit Rai Marg, opposite Bombay Gymkhana Club",Furniture store, 082919 59863,18.9365145,72.8331249,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Godrej+Interio+-+Furniture+Store+in+Fort,+Mumbai/data=!4m7!3m6!1s0x3be7d1de9d0b378d:0xb0c7b676f4bb9cc1!8m2!3d18.9365145!4d72.8331249!16s%2Fg%2F12qh0ntw3!19sChIJjTcLnd7R5zsRwZy79Ha2x7A?authuser=0&hl=en&rclk=1"",""stars"":4.7,""numberOfReviews"":129}","Godrej Interio - Furniture Store in Fort, Mumbai","{""rating"":""4.7 stars 129 Reviews""}"
JnZ8u29vR5zsRZhFroF0X63Y,"Shop No, 105, Perin Nariman St",Pharmacy, 080977 30642,18.9365488,72.835914,Avaliable,"{""type"":""Delivery"",""googleUrl"":""https://www.google.com/maps/place/Super+Medical+%26+General+Stores/data=!4m7!3m6!1s0x3be7d1dbdb2e9f9d:0x76eb175da06b1166!8m2!3d18.9365488!4d72.835914!16s%2Fg%2F11tf41fv2q!19sChIJnZ8u29vR5zsRZhFroF0X63Y?authuser=0&hl=en&rclk=1"",""stars"":null,""numberOfReviews"":null}",Super Medical & General Stores,"{""rating"":""NA""}"
JobYFjdnR5zsRnpPsn0clzWo,"49, Walchand Hirachand Marg, Near G P O, Indra Docks, First Street, Walchand Hirachand Marg",General store,022 2261 3570,18.9381782,72.837384,Avaliable,"{""type"":""NA"",""googleUrl"":""https://www.google.com/maps/place/Ramesh+Stores/data=!4m7!3m6!1s0x3be7d1d98d05b6a1:0x6acd25479fec939e!8m2!3d18.9381782!4d72.837384!16s%2Fg%2F1w663wq8!19sChIJobYFjdnR5zsRnpPsn0clzWo?authuser=0&hl=en&rclk=1"",""stars"":5,""numberOfReviews"":1}",Ramesh Stores,"{""rating"":""5.0 stars 1 Reviews""}"
JVXPqNR_O5zsRlpNdyFSrU9c,"503/505, Lotlikar Mansion, Jagannath Shankar Seth Rd, opposite S.K. Shah Jewellers",General store, 098929 26060,18.947808,72.8264481,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/Lucky+General+Store/data=!4m7!3m6!1s0x3be7ce1f35ea7355:0xd753ab54c85d9396!8m2!3d18.947808!4d72.8264481!16s%2Fg%2F1tsyn7l1!19sChIJVXPqNR_O5zsRlpNdyFSrU9c?authuser=0&hl=en&rclk=1"",""stars"":3.8,""numberOfReviews"":4}",Lucky General Store,"{""rating"":""3.8 stars 4 Reviews""}"
JQ-nb7SHO5zsRM545LYMBW3Q,"Shop No. 3, Dr MB Velkar St",Grocery store, 079772 65489,18.9476766,72.8279144,Avaliable,"{""type"":""NA"",""googleUrl"":""https://www.google.com/maps/place/Modern+Stores/data=!4m7!3m6!1s0x3be7ce21eddbe943:0x745b01832d399e33!8m2!3d18.9476766!4d72.8279144!16s%2Fg%2F1ptyp479d!19sChIJQ-nb7SHO5zsRM545LYMBW3Q?authuser=0&hl=en&rclk=1"",""stars"":5,""numberOfReviews"":1}",Modern Stores,"{""rating"":""5.0 stars 1 Reviews""}"
JoWH_Tx_O5zsRp0EKI5PbUHY,Shop no 62 M V Vellar Street,General store, 093726 32445,18.9473953,72.8272007,Avaliable,"{""type"":""NA"",""googleUrl"":""https://www.google.com/maps/place/Shree+Siddhivinayak+Provision+Store/data=!4m7!3m6!1s0x3be7ce1f4fff61a1:0x7650db93230a41a7!8m2!3d18.9473953!4d72.8272007!16s%2Fg%2F1ptxwtd52!19sChIJoWH_Tx_O5zsRp0EKI5PbUHY?authuser=0&hl=en&rclk=1"",""stars"":null,""numberOfReviews"":null}",Shree Siddhivinayak Provision Store,"{""rating"":""NA""}"
J2SN08CHO5zsRUGp3QMgmpmQ,"Shop No 406/A, Kalbadevi Rd",General store, 097691 65558,18.9476474,72.8286699,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/A+V+Kutty+General+Store/data=!4m7!3m6!1s0x3be7ce21f07423d9:0x64a626c840776a50!8m2!3d18.9476474!4d72.8286699!16s%2Fg%2F11sqczky5q!19sChIJ2SN08CHO5zsRUGp3QMgmpmQ?authuser=0&hl=en&rclk=1"",""stars"":null,""numberOfReviews"":null}",A V Kutty General Store,"{""rating"":""NA""}"
JU-eczhjO5zsR9wQL0woadb0,"Plumber House, 557, Jagannath Shankar Seth Rd",Indian grocery store, 091370 95075,18.94709,72.8268298,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/V.K.+Stores/data=!4m7!3m6!1s0x3be7ce18ce9ce753:0xbd751a0ad30b04f7!8m2!3d18.94709!4d72.8268298!16s%2Fg%2F11b7jf24c8!19sChIJU-eczhjO5zsR9wQL0woadb0?authuser=0&hl=en&rclk=1"",""stars"":4.7,""numberOfReviews"":6}",V.K. Stores,"{""rating"":""4.7 stars 6 Reviews""}"
J4bkRLurP5zsRJ_1XU7sPvkU,"Gaiwadi X Lane No. 7, Below Royal Avenue Tower, Dr Viegas St",Indian grocery store, 079000 80636,18.9490211,72.8273759,Avaliable,"{""type"":""In-store shopping"",""googleUrl"":""https://www.google.com/maps/place/The+Sasta+Store/data=!4m7!3m6!1s0x3be7cfea2e11b9e1:0x45be0fbb5357fd27!8m2!3d18.9490211!4d72.8273759!16s%2Fg%2F11k1m4f1w9!19sChIJ4bkRLurP5zsRJ_1XU7sPvkU?authuser=0&hl=en&rclk=1"",""stars"":5,""numberOfReviews"":3}",The Sasta Store,"{""rating"":""5.0 stars 3 Reviews""}"
